date,log_close_comex,log_close_sh,label
2016-12-19,7.03852034886169,5.571241068024272,5.568573485176439
2016-12-20,7.0334182969777945,5.568573485176439,5.564405458187559
2016-12-21,7.0328007679563616,5.564405458187559,5.560681631015528
2016-12-22,7.029972911706386,5.560681631015528,5.560950825548659
2016-12-23,7.034564125845833,5.560950825548659,5.566051801190121
2016-12-26,7.034564125845833,5.566051801190121,5.567084167886663
2016-12-27,7.038344848685739,5.567084167886663,5.568000933297142
2016-12-28,7.040974122768359,5.568000933297142,5.572116008641191
2016-12-29,7.055312843339752,5.572116008641191,5.575570243509278
2016-12-30,7.049254841255837,5.575570243509278,5.5746224659764785
2017-01-03,7.055657908905633,5.5746224659764785,5.579239139581601
2017-01-04,7.0597894348376355,5.579239139581601,5.578710438662941
2017-01-05,7.074032138607236,5.578710438662941,5.580823567255753
2017-01-06,7.067234593527459,5.580823567255753,5.583082689418416
2017-01-09,7.074286149869768,5.583082689418416,5.59139734406141
2017-01-10,7.079689742889605,5.59139734406141,5.59504589613565
2017-01-11,7.082968296538797,5.59504589613565,5.595937393538776
2017-01-12,7.085985142872835,5.595937393538776,5.593930405576017
2017-01-13,7.087824300722798,5.593930405576017,5.600272098286537
2017-01-16,7.092241158605468,5.600272098286537,5.606463612132171
2017-01-17,7.103897554793403,5.606463612132171,5.602229515859796
2017-01-18,7.093155425385689,5.602229515859796,5.591098914544516
2017-01-19,7.093653764266434,5.591098914544516,5.594897235935429
2017-01-20,7.098540914188221,5.594897235935429,5.599458458683974
2017-01-23,7.1048012311744735,5.599458458683974,5.597866249064652
2017-01-24,7.097217943927458,5.597866249064652,5.591248140435486
2017-01-25,7.090410113566212,5.591248140435486,5.584435717023635
2017-01-26,7.080110671464242,5.584435717023635,5.595825999817554
2017-02-03,7.107916753904423,5.595825999817554,5.605029709281564
2017-02-06,7.12068686521993,5.605029709281564,5.613711877566353
2017-02-07,7.119231025428665,5.613711877566353,5.614404663504985
2017-02-08,7.12536353879767,5.614404663504985,5.621523423818773
2017-02-09,7.114281524472909,5.621523423818773,5.6088488905974625
2017-02-10,7.118583304573698,5.6088488905974625,5.615461149149437
2017-02-13,7.111593679238341,5.615461149149437,5.613347060518055
2017-02-14,7.11411883025633,5.613347060518055,5.610935924289849
2017-02-15,7.118583304573698,5.610935924289849,5.616516519809833
2017-02-16,7.122947300508726,5.616516519809833,5.619494658133612
2017-02-17,7.119635638017636,5.619494658133612,5.6185876285929695
2017-02-20,7.121656248929415,5.6185876285929695,5.618769100329245
2017-02-21,7.120201820748012,5.618769100329245,5.618950539139504
2017-02-22,7.121413991085132,5.618950539139504,5.621125240975192
2017-02-23,7.131458673554861,5.621125240975192,5.6334673007411755
2017-02-24,7.1372784372603855,5.6334673007411755,5.6369301676683605
2017-02-27,7.133615137790575,5.6369301676683605,5.64130405227947
2017-02-28,7.129938369201223,5.64130405227947,5.627621113690637
2017-03-01,7.1308988302963465,5.627621113690637,5.628879314629517
2017-03-02,7.118340301048951,5.628879314629517,5.621233852021042
2017-03-03,7.118826249062078,5.621233852021042,5.622355475960472
2017-03-06,7.111104202968168,5.622355475960472,5.618115647899109
2017-03-07,7.103239822302372,5.618115647899109,5.612361389177871
2017-03-08,7.096804156525518,5.612361389177871,5.606610562903928
2017-03-09,7.090826554666638,5.606610562903928,5.599939325733503
2017-03-10,7.093819822054926,5.599939325733503,5.609105427714293
2017-03-13,7.09307234475589,5.609105427714293,5.603225219664886
2017-03-14,7.088826053874439,5.603225219664886,5.603998971108217
2017-03-15,7.1062782151140995,5.603998971108217,5.620002235550063
2017-03-16,7.111593679238341,5.620002235550063,5.619023105446999
2017-03-17,7.1138747392905515,5.619023105446999,5.624270181843383
2017-03-20,7.1180162044653335,5.624270181843383,5.619494658133612
2017-03-21,7.126569472135118,5.619494658133612,5.6283402794893425
2017-03-22,7.1297782026276435,5.6283402794893425,5.628376224206372
2017-03-23,7.126890808898808,5.628376224206372,5.62718936582468
2017-03-24,7.125524413958892,5.62718936582468,5.636680671115465
2017-03-27,7.134173462830004,5.636680671115465,5.6356106945528675
2017-03-28,7.132018203564263,5.6356106945528675,5.6338606003511575
2017-03-29,7.133455559078037,5.6338606003511575,5.633360010359655
2017-03-30,7.124075604948222,5.633360010359655,5.626937426792593
2017-03-31,7.132178011794727,5.626937426792593,5.637037075709729
2017-04-05,7.136960421674942,5.637037075709729,5.635539322059795
2017-04-06,7.133774691041811,5.635539322059795,5.645199517223904
2017-04-07,7.135766961693207,5.645199517223904,5.6397416074461475
2017-04-10,7.136005767664492,5.6397416074461475,5.641339534032982
2017-04-11,7.151877236681538,5.641339534032982,5.650416859054949
2017-04-12,7.161544420410734,5.650416859054949,5.65840149261586
2017-04-13,7.162475013731091,5.65840149261586,5.6580875153940715
2017-04-14,7.162475013731091,5.6580875153940715,5.659133722987319
2017-04-17,7.159525159084669,5.659133722987319,5.656446252999907
2017-04-18,7.163559612535895,5.656446252999907,5.65511730267492
2017-04-19,7.156176637480615,5.65511730267492,5.654207002212929
2017-04-20,7.1574239092357015,5.654207002212929,5.653751541050636
2017-04-21,7.1592919047975645,5.653751541050636,5.647459006269912
2017-04-24,7.152973384614658,5.647459006269912,5.646506406836471
2017-04-25,7.143222579985179,5.646506406836471,5.642084360185986
2017-04-26,7.147401902395361,5.642084360185986,5.643997083920163
2017-04-27,7.143064527195218,5.643997083920163,5.6470357407703125
2017-04-28,7.146378401144733,5.6470357407703125,5.638141123402764
2017-05-02,7.137119442109403,5.638141123402764,5.63611015942233
2017-05-03,7.13001844286904,5.63611015942233,5.62108903467167
2017-05-04,7.113467788566667,5.62108903467167,5.619929740262226
2017-05-05,7.113467788566667,5.619929740262226,5.6185876285929695
2017-05-08,7.111675235328588,5.6185876285929695,5.617498106059188
2017-05-09,7.107671144177043,5.617498106059188,5.612726565927474
2017-05-10,7.1058681605711005,5.612726565927474,5.614076561571708
2017-05-11,7.110696122978827,5.614076561571708,5.618623925574879
2017-05-12,7.112979228993396,5.618623925574879,5.621451038730069
2017-05-15,7.115175869831111,5.621451038730069,5.62293388679288
2017-05-16,7.120282677833157,5.62293388679288,5.6262172510385895
2017-05-17,7.139818927670905,5.6262172510385895,5.6341465393051395
2017-05-18,7.128335547893182,5.6341465393051395,5.6321432475140485
2017-05-19,7.135448464994918,5.6321432475140485,5.634789603169249
2017-05-22,7.139263746627974,5.634789603169249,5.639777144680289
2017-05-23,7.131538625583686,5.639777144680289,5.629418059367339
2017-05-24,7.137755271092833,5.629418059367339,5.633896347192034
2017-05-25,7.135129866824163,5.633896347192034,5.636038822569682
2017-05-26,7.144170372489587,5.636038822569682,5.631211781821365
2017-05-31,7.147873934502308,5.631211781821365,5.631175938885108
2017-06-01,7.145353851265932,5.631175938885108,5.628196487699606
2017-06-02,7.155786545804125,5.628196487699606,5.641445971740414
2017-06-05,7.156098631318089,5.641445971740414,5.6461533618195645
2017-06-06,7.167500732740895,5.6461533618195645,5.648093568795613
2017-06-07,7.162009825321399,5.648093568795613,5.644386264699545
2017-06-08,7.1548497044521335,5.644386264699545,5.633789102835666
2017-06-09,7.145826850880583,5.633789102835666,5.630674002835563
2017-06-12,7.1451172675339025,5.630674002835563,5.628879314629517
2017-06-13,7.145590379039336,5.628879314629517,5.632286472951131
2017-06-14,7.140849161149515,5.632286472951131,5.625712819234279
2017-06-15,7.13528917859764,5.625712819234279,5.623656430176916
2017-06-16,7.135050201418823,5.623656430176916,5.621306252831962
2017-06-19,7.127051438567453,5.621306252831962,5.620437096944849
2017-06-20,7.126167655920446,5.620437096944849,5.619639706543773
2017-06-21,7.128896827625674,5.619639706543773,5.625712819234279
2017-06-22,7.131858369791047,5.625712819234279,5.626829433488073
2017-06-23,7.137119442109403,5.626829433488073,5.627261336748458
2017-06-26,7.1271317437271025,5.627261336748458,5.622427795613369
2017-06-27,7.128896827625674,5.622427795613369,5.620183450779887
2017-06-28,7.13041871505947,5.620183450779887,5.616880182625682
2017-06-29,7.127372620519789,5.616880182625682,5.609838028479659
2017-06-30,7.123995053979552,5.609838028479659,5.605213657923621
2017-07-03,7.106196217655975,5.605213657923621,5.59982837693626
2017-07-04,7.109062135687172,5.59982837693626,5.5984960303291
2017-07-05,7.111919863698544,5.5984960303291,5.598866304706641
2017-07-06,7.110451195027242,5.598866304706641,5.597680943773655
2017-07-07,7.099944654974442,5.597680943773655,5.58263127309205
2017-07-10,7.101428824112316,5.58263127309205,5.589306464757314
2017-07-11,7.104144092987527,5.589306464757314,5.5943395632748185
2017-07-12,7.106360205849192,5.5943395632748185,5.59508305773286
2017-07-13,7.103897554793403,5.59508305773286,5.590203091260391
2017-07-14,7.113142108707088,5.590203091260391,5.599532453282402
2017-07-17,7.117367696011995,5.599532453282402,5.601565162103908
2017-07-18,7.124397743953987,5.601565162103908,5.6034095005094136
2017-07-19,7.123592201780574,5.6034095005094136,5.603188359420499
2017-07-20,7.126006884215919,5.603188359420499,5.610167523805638
2017-07-21,7.134890851565884,5.610167523805638,5.612397912854348
2017-07-24,7.135129866824163,5.612397912854348,5.61254399422193
2017-07-25,7.130658801491738,5.61254399422193,5.606904399679714
2017-07-26,7.139105066843446,5.606904399679714,5.6153154933338705
2017-07-27,7.137834721297459,5.6153154933338705,5.614185940844445
2017-07-28,7.1459844677143876,5.614185940844445,5.617134667930529
2017-07-31,7.150936724032854,5.617134667930529,5.617861412148562
2017-08-01,7.150544582543182,5.617861412148562,5.616043560348194
2017-08-02,7.148817330798692,5.616043560348194,5.610935924289849
2017-08-03,7.150230758595839,5.610935924289849,5.617716105551386
2017-08-04,7.142273888317852,5.617716105551386,5.610826188934837
2017-08-07,7.1415617784646,5.610826188934837,5.609545052574831
2017-08-08,7.14401246944173,5.609545052574831,5.613638924803235
2017-08-09,7.15711223711225,5.613638924803235,5.617825087478658
2017-08-10,7.164024080728175,5.617825087478658,5.623006164628913
2017-08-11,7.166265974133638,5.623006164628913,5.622572419230658
2017-08-14,7.160690615104083,5.622572419230658,5.615679593101228
2017-08-15,7.152190544430636,5.615679593101228,5.614951260949585
2017-08-16,7.161466831862764,5.614951260949585,5.6240175061873385
2017-08-17,7.165184308262897,5.6240175061873385,5.629418059367339
2017-08-18,7.162630028457801,5.629418059367339,5.625856968573243
2017-08-21,7.1681175407789555,5.625856968573243,5.622825460242726
2017-08-22,7.162707526810999,5.622825460242726,5.6240175061873385
2017-08-23,7.167269331605997,5.6240175061873385,5.624306273154405
2017-08-24,7.163559612535895,5.624306273154405,5.623295223743515
2017-08-25,7.167423604978719,5.623295223743515,5.628376224206372
2017-08-28,7.181972100480348,5.628376224206372,5.6389594686121916
2017-08-29,7.181287715829476,5.6389594686121916,5.627621113690637
2017-08-30,7.180678980458373,5.627621113690637,5.62729732026801
2017-08-31,7.190299173577794,5.62729732026801,5.6331453950567605
2017-09-01,7.192859030419117,5.6331453950567605,5.6420489048508395
2017-09-04,7.1999770314759495,5.6420489048508395,5.63906615993651
2017-09-05,7.204074939829503,5.63906615993651,5.643466138648146
2017-09-06,7.19975302550152,5.643466138648146,5.6397416074461475
2017-09-07,7.21081845347222,5.6397416074461475,5.641020152919886
2017-09-08,7.208600337960199,5.641020152919886,5.640096922970068
2017-09-11,7.194211600508099,5.640096922970068,5.634253745337369
2017-09-12,7.194962238585681,5.634253745337369,5.637179601988253
2017-09-13,7.190751389443204,5.637179601988253,5.634075062231381
2017-09-14,7.1956373314365845,5.634075062231381,5.635503633902907
